"Front";"Back";"Tags"
"<strong>After the buyer confirms a purchase order, how does the seller create a corresponding sales order using EDI?</strong><br><br>A) The buyer's database automatically pushes the PO into the seller's sales orders list<br>B) The seller downloads the XML from the buyer's portal and uploads it in their Sales app<br>C) In the email the seller receives, the seller clicks the ""Download"" button and uploads the downloaded PDF to the Sales dashboard";"✅ <strong>Jawaban: A) The buyer's database automatically pushes the PO into the seller's sales orders list</strong>";"odoo19::purchase"
"<strong>While using 3-way matching, for products with Invoicing Policy = Received quantities, you upload a vendor bill for the full PO before any receipt. How is it treated?</strong><br><br>A) The bill is created, but ""Should Be Paid?"" = No (fails 3-way match until receipt)<br>B) Bill upload is blocked until at least one receipt is validated<br>C) The bill uploads and is automatically marked payable in full regardless of receipts";"✅ <strong>Jawaban: A) The bill is created, but ""Should Be Paid?"" = No (fails 3-way match until receipt)</strong>";"odoo19::purchase"
"<strong>If you have a product with several vendors assigned to it, which one will be used when an RFQ is automatically generated?</strong><br><br>A) The first vendor on the list matching the minimum quantity condition<br>B) The vendor with the shortest delivery lead time<br>C) The vendor with the cheapest price";"✅ <strong>Jawaban: A) The first vendor on the list matching the minimum quantity condition</strong>";"odoo19::purchase"
"<strong>Using the 'Average Cost' costing method, will the cost in the product form change when you receive products?</strong><br><br>A) Yes<br>B) Yes, but only if the vendor bill arrives at the same time as the product<br>C) No";"✅ <strong>Jawaban: A) Yes</strong>";"odoo19::purchase"
"<strong>When you purchase new products, how is the Expected Arrival date computed on new PO lines?</strong><br><br>A) Order Date - Vendor Lead Time - Company Security Days<br>B) Order Date + Vendor Lead Time<br>C) Order Date + Vendor Lead Time + Company Security Days";"✅ <strong>Jawaban: B) Order Date + Vendor Lead Time</strong>";"odoo19::purchase"
"<strong>When creating a new request for quotation (RFQ), are you able to link it to an existing RFQ as an alternative?</strong><br><br>A) No, alternative RFQs must be created from the 'Alternatives' tab of an existing, pre-populated RFQ with a listed vendor and products<br>B) No, Odoo does not allow multiple RFQs to be linked to each other unless the same vendor is listed on each<br>C) Yes, by clicking 'Link to Existing RfQ', under the 'Alternatives' tab on a new request for quotation";"✅ <strong>Jawaban: A) No, alternative RFQs must be created from the 'Alternatives' tab of an existing, pre-populated RFQ with a listed vendor and products</strong>";"odoo19::purchase"
"<strong>When the '3-way matching' feature is activated, how will you know which vendor bills are ready to be paid for received quantities?</strong><br><br>A) You won't. The '3-way matching' feature only works when the bill control policy is set to 'On ordered quantities'<br>B) The 'Should Be Paid' field will read 'Yes', under the 'Other Info' tab on the vendor bill<br>C) When the vendor bill's status changes from 'In Payment' to 'Paid'";"✅ <strong>Jawaban: A) You won't. The '3-way matching' feature only works when the bill control policy is set to 'On ordered quantities'</strong>";"odoo19::purchase"
"<strong>You set ""Based On"" to Last 7 days and ""Replenish for"" to 15 days. Odoo suggests quantities for several products. What data is Odoo using to generate these suggestions?</strong><br><br>A) It only considers confirmed purchase orders in the last 7 days to compute daily demand, then multiplies by 15<br>B) It averages the price of the product over the last 7 days to compare to what you're paying for the next 15 days to make sure your vendors aren't ripping you off<br>C) It looks at quantities delivered over the past 7 days to compute daily demand, then multiplies by 15 and subtracts on-hand stock";"✅ <strong>Jawaban: C) It looks at quantities delivered over the past 7 days to compute daily demand, then multiplies by 15 and subtracts on-hand stock</strong>";"odoo19::purchase"
"<strong>You're reviewing the Forecasted report for a product that's running low. The ""Time to Replenish"" field shows 5 days. What does this tell you?</strong><br><br>A) You have 5 days to decide to replenish before your stock runs into critically low levels<br>B) The product can't be replenished sooner than 5 days because the vendor is out<br>C) If you order today, the product would arrive in 5 days, based on today's date and configured lead times";"✅ <strong>Jawaban: A) You have 5 days to decide to replenish before your stock runs into critically low levels</strong>";"odoo19::purchase"
"<strong>Your warehouse is set up to deliver in three steps: pick, pack, and ship. In the 'Pick' step, you are supposed to pick 10 chairs and 5 desks, but you accidentally pick 15 chairs and 2 desks. You select 'No Backorder' during the process. What will be the result in the 'Pack' step?</strong><br><br>A) 15 chairs, 2 desks<br>B) 10 chairs and 5 desks<br>C) 10 chairs, 2 desks";"✅ <strong>Jawaban: A) 15 chairs, 2 desks</strong>";"odoo19::purchase"
"<strong>When performing an inventory adjustment that increases a product's stock from 0 to 5 units, what are the 'Location Types' of the locations involved in the resulting stock move?</strong><br><br>A) A move from an 'Internal Location' to an 'Inventory Adjustment' location<br>B) A move from an 'Inventory Loss' location to an 'Internal Location'<br>C) A move between two 'Internal Locations'";"✅ <strong>Jawaban: A) A move from an 'Internal Location' to an 'Inventory Adjustment' location</strong>";"odoo19::purchase"
"<strong>Which of the following does NOT create stock moves?</strong><br><br>A) Dragging serial or lot numbers between locations in the Locations (Kanban) view<br>B) Using the Relocate button on the Inventory Adjustments dashboard<br>C) Going to Inventory > Reporting > Moves History page and clicking New";"✅ <strong>Jawaban: A) Dragging serial or lot numbers between locations in the Locations (Kanban) view</strong>";"odoo19::purchase"
"<strong>If a product has been reserved for sales orders and you perform an 'Inventory Adjustment' to set the on-hand quantity to 0, what will happen to the forecasted quantity of that product?</strong><br><br>A) The forecasted quantity is updated to 0<br>B) There's no change to the forecasted quantity<br>C) The forecasted quantity becomes negative, and the product is marked as ""Not Available"" on any current delivery orders";"✅ <strong>Jawaban: A) The forecasted quantity is updated to 0</strong>";"odoo19::purchase"
"<strong>When you update on-hand quantities from 5 units to 4 for a specific product, what stock moves are created?</strong><br><br>A) A move of 4 units from an 'Internal Location' to an 'Inventory Loss' location<br>B) A move of 1 unit from an 'Internal Location' to an 'Inventory Loss' location<br>C) A move of 1 unit from an 'Inventory Loss' location to an 'Internal Location'";"✅ <strong>Jawaban: A) A move of 4 units from an 'Internal Location' to an 'Inventory Loss' location</strong>";"odoo19::purchase"
"<strong>You're configuring a packaging called ""Pack of 6"" to sell six soda bottles together. Soda's base unit of measure is units. You set the Package Type to Carton (representing the cardboard six-pack holder). On a delivery order for 6 units of soda and click ""Put in Pack"", what effect does this configuration have?</strong><br><br>A) Create a new package with the Package Type ""Carton"", with all 6 sodas inside<br>B) Create a new package with the Package Type ""Carton"", with all 6 sodas inside, but the unit is converted to 1 ""Pack of 6"" on the delivery order<br>C) Creates one package containing all 6 sodas, but no Package Type is set, because it's not a thing";"✅ <strong>Jawaban: A) Create a new package with the Package Type ""Carton"", with all 6 sodas inside</strong>";"odoo19::purchase"
"<strong>Where is the ""Count Entire Locations"" Barcode feature configured?</strong><br><br>A) In Inventory > Configuration > Settings, under the Barcode section, enable the ""Count Entire Locations"" feature<br>B) Go to the Locations configuration page and enable the ""Count Entire Locations"" feature<br>C) In the Barcode app, click ""Count inventory"", click the gear icon (settings) menu, and enable ""Count Entire Locations""";"✅ <strong>Jawaban: A) In Inventory > Configuration > Settings, under the Barcode section, enable the ""Count Entire Locations"" feature</strong>";"odoo19::purchase"
"<strong>What does the 'i' button on the Replenishment dashboard NOT do?</strong><br><br>A) Display the forecasted arrival date of the product<br>B) Triggers the reordering rule<br>C) Display lead times";"✅ <strong>Jawaban: A) Display the forecasted arrival date of the product</strong>";"odoo19::purchase"
"<strong>I want to configure a specific route in my warehouse for FedEx, but it needs to be different than the route we use for DHL. I can do this by:</strong><br><br>A) Going to Inventory > Configuration > Shipping Methods and choosing a routes for the Routes field.<br>B) Click the ""Quality Checks"" button available on transfers configured with a quality control point<br>C) Create a custom route for the shipping method and setting it in the Routes field in Inventory > Configuration > Delivery Methods";"✅ <strong>Jawaban: A) Going to Inventory > Configuration > Shipping Methods and choosing a routes for the Routes field.</strong>";"odoo19::purchase"
"<strong>You want to trigger quality checks when products arrive from vendors. How should you configure this?</strong><br><br>A) Create a quality control point on the ""Receipt"" operation type<br>B) Create a control point on the ""Vendor Reception"" operation type<br>C) Create a quality check for each specific vendor";"✅ <strong>Jawaban: A) Create a quality control point on the ""Receipt"" operation type</strong>";"odoo19::mrp"
"<strong>Your MPS shows a forecasted demand of 110 units for a product with a BoM Batch Size of 40. What happens when you click ""Order""?</strong><br><br>A) 3 MOs are created, with 40 units in two MOs, and 30 units in the third MO<br>B) 3 MOs are created, 40 units each<br>C) 4 MOs with 30 each";"✅ <strong>Jawaban: A) 3 MOs are created, with 40 units in two MOs, and 30 units in the third MO</strong>";"odoo19::mrp"
"<strong>A MO produces 5 products tracked by serial numbers. How do you generate serial numbers for all finished products?</strong><br><br>A) Enable the ""Custom Lot/Serial"" feature for the product, then click ""Generate Serial"". This creates five serial numbers in the Lot/Serial Number field<br>B) It's not possible to have more than one serial number in the ""Lot/Serial Number"" field, so Odoo creates backorders for the remaining four unassigned serial numbers<br>C) You must manually create five separate Manufacturing Orders, each for quantity 1, so that Odoo assigns a serial number to each finished product individually";"✅ <strong>Jawaban: A) Enable the ""Custom Lot/Serial"" feature for the product, then click ""Generate Serial"". This creates five serial numbers in the Lot/Serial Number field</strong>";"odoo19::mrp"
"<strong>What do the additional row options Actual Demand Y-1 and Actual Demand Y-2 refer to in the Master Production Schedule (MPS)?</strong><br><br>A) The quantity of products sold at this time last year and two years ago, respectively<br>B) The quantity of products delivered to customer locations at the same time last year and two years ago, respectively<br>C) The demand forecast input in the MPS this time last year and two years ago respectively";"✅ <strong>Jawaban: A) The quantity of products sold at this time last year and two years ago, respectively</strong>";"odoo19::mrp"
"<strong>When alternative work centers are configured, which work center will Odoo select for work orders?</strong><br><br>A) The work center with the highest capacity<br>B) The work center with the lowest cost per hour<br>C) The work center that will finish the task the soonest";"✅ <strong>Jawaban: C) The work center that will finish the task the soonest</strong>";"odoo19::mrp"
"<strong>You've configured your manufacturing process to happen in two steps: pick components, and then manufacture. You decide to produce more, what happens with the pre-production picking?</strong><br><br>A) Nothing at first, and once you confirm the picking, a backorder is created to make up the missing quantities<br>B) The component quantities are updated to reflect the new quantities needed<br>C) A warning is raised to reflect that the original quantity does not fulfill the updated demand. You have to click ""Update Quantity""";"✅ <strong>Jawaban: A) Nothing at first, and once you confirm the picking, a backorder is created to make up the missing quantities</strong>";"odoo19::mrp"
"<strong>What must happen in order to mark a subcontracted order as complete?</strong><br><br>A) The subcontractor must validate component consumption from the subcontracting portal<br>B) The user must validate the receipt of the product from the subcontractor<br>C) The finished product must be shipped";"✅ <strong>Jawaban: A) The subcontractor must validate component consumption from the subcontracting portal</strong>";"odoo19::mrp"
"<strong>Which app is the Shop Floor module installed alongside?</strong><br><br>A) Accounting<br>B) Manufacturing<br>C) Maintenance";"✅ <strong>Jawaban: A) Accounting</strong>";"odoo19::mrp"
"<strong>Which of the following is NOT shown on the card for an MO on the Shop Floor dashboard?</strong><br><br>A) The estimated time to complete the MO<br>B) The MO number<br>C) The product being manufactured";"✅ <strong>Jawaban: A) The estimated time to complete the MO</strong>";"odoo19::mrp"
"<strong>What happens when no employees are listed in the 'Allowed Employees' field on a work center form?</strong><br><br>A) No employee is allowed to operate the work center<br>B) It is not possible to leave the 'Allowed Employees' field blank<br>C) Any employee is allowed to operate the work center";"✅ <strong>Jawaban: C) Any employee is allowed to operate the work center</strong>";"odoo19::mrp"
"<strong>Where do you find the cost of processing a specific work order?</strong><br><br>A) Manufacturing app -> Operations -> Manufacturing Orders -> select MO -> Overview -> Operations section<br>B) Manufacturing app -> Operations -> Manufacturing Orders -> select MO -> Work Orders tab<br>C) Manufacturing app -> Operations -> Work Orders -> select work order";"✅ <strong>Jawaban: A) Manufacturing app -> Operations -> Manufacturing Orders -> select MO -> Overview -> Operations section</strong>";"odoo19::mrp"
"<strong>What does it mean when a work center is operating at ""reduced speed""?</strong><br><br>A) The work center is operating more slowly than usual<br>B) The work center does not have enough employees staffing it<br>C) The work center is processing a work order that has exceeded its expected duration";"✅ <strong>Jawaban: A) The work center is operating more slowly than usual</strong>";"odoo19::mrp"
"<strong>Which relational field type must exist for a One2Many field to function?</strong><br><br>A) Related Field.<br>B) Many2Many.<br>C) Many2One.";"✅ <strong>Jawaban: C) Many2One.</strong>";"odoo19::studio"
"<strong>Which property should you use on a field if you want to display an example of how the field should be completed (e.g., 'Enter up to 50 characters')?</strong><br><br>A) Placeholder.<br>B) Help Tooltip.<br>C) Default Value.";"✅ <strong>Jawaban: A) Placeholder.</strong>";"odoo19::studio"
"<strong>A dynamic table in a report is based on a relational field. Which type(s) of relational fields can be used for this purpose?</strong><br><br>A) Many2One only.<br>B) Related Fields only.<br>C) One2Many or Many2Many.";"✅ <strong>Jawaban: C) One2Many or Many2Many.</strong>";"odoo19::studio"
"<strong>When setting up an approval step on a button, which option, if enabled, prevents a user who approves one step from approving any other step on the same record?</strong><br><br>A) Exclusive Approval.<br>B) Approval Order.<br>C) Sequential Approval.";"✅ <strong>Jawaban: A) Exclusive Approval.</strong>";"odoo19::studio"
"<strong>How can you ensure a customer is automatically added as a follower when project changed state to 'In Progress'?</strong><br><br>A) Use the 'Add Followers' action with the type 'Dynamic Followers', then select the appropriate partner field.<br>B) Use the 'Create Activity' action and select the customer's email field.<br>C) Use the 'Send Email' action and set the action to 'Message'.";"✅ <strong>Jawaban: A) Use the 'Add Followers' action with the type 'Dynamic Followers', then select the appropriate partner field.</strong>";"odoo19::studio"
"<strong>When updating a record using AI, how can you insert dynamic values in prompts?</strong><br><br>A) Right-click, select 'Insert Dynamic Placeholder', then select the field.<br>B) Type a field's technical name enclosed in curly brackets, e.g., {customer_id}.<br>C) Type '/' then click 'Field selector' and select the field.";"✅ <strong>Jawaban: A) Right-click, select 'Insert Dynamic Placeholder', then select the field.</strong>";"odoo19::studio"
"<strong>What are the two types of contacts in Odoo?</strong><br><br>A) Person and Company.<br>B) Person and Joint.<br>C) Company and Not-for-Profit.";"✅ <strong>Jawaban: A) Person and Company.</strong>";"odoo19::introduction"
"<strong>What does it mean when a record is archived in Odoo?</strong><br><br>A) Records cannot be archived for traceability purposes.<br>B) When a record is archived in Odoo, it is hidden from regular view, and no longer active.<br>C) When a record is archived, nobody can ever modify it, it's frozen forever.";"✅ <strong>Jawaban: B) When a record is archived in Odoo, it is hidden from regular view, and no longer active.</strong>";"odoo19::introduction"
"<strong>Inside a record, how do you schedule an activity?</strong><br><br>A) Click the ""Activity"" button at the top of the chatter and choose the activity type, due date, assignee, and log a note.<br>B) Click the ""New Activity"" option in the chatter menu and select the activity type, responsible user, and deadline.<br>C) Open the Activities panel from the record header and use ""Add Activity"" to define the activity details.";"✅ <strong>Jawaban: A) Click the ""Activity"" button at the top of the chatter and choose the activity type, due date, assignee, and log a note.</strong>";"odoo19::introduction"
"<strong>What does activating Superuser mode do?</strong><br><br>A) It allows the user to impersonate any other user.<br>B) It allows the user to bypass record rules and access rights.<br>C) It provides the user with temporary Administration Access Rights.";"✅ <strong>Jawaban: A) It allows the user to impersonate any other user.</strong>";"odoo19::introduction"
"<strong>What type of commission plan would you use to reward sales people for hitting a quarterly fixed, predefined sales goal?</strong><br><br>A) A target-based commission plan<br>B) An achievement-based commission plan<br>C) Either a target or achievement-based commission plan";"✅ <strong>Jawaban: A) A target-based commission plan</strong>";"odoo19::sales"
"<strong>If you would like to group specific sales order lines together to generate subtotals, what feature would you use on the quotation/sales order?</strong><br><br>A) Product categories<br>B) Sequences<br>C) Sections";"✅ <strong>Jawaban: C) Sections</strong>";"odoo19::sales"
"<strong>Which of the following actions can customers NOT perform in the customer portal?</strong><br><br>A) Manage pricelists for their most frequently purchased products<br>B) Add funds to their eWallet<br>C) Submit partial payments and down payments for invoices (if the payment terms allow)";"✅ <strong>Jawaban: A) Manage pricelists for their most frequently purchased products</strong>";"odoo19::sales"
"<strong>What does the 'Customer Lead Time' field on a product form represent?</strong><br><br>A) The computed order date based on the quotation date<br>B) The number of days, promised to the customer, between the confirmation of the sales order and the delivery<br>C) Confirmation that the Terms & Conditions will be displayed on the quotation";"✅ <strong>Jawaban: B) The number of days, promised to the customer, between the confirmation of the sales order and the delivery</strong>";"odoo19::sales"
"<strong>You want to create a ""Buy 10 Sandwiches, Get 1 Free"" offer to encourage repeat customers. Which Setting must be activated in the Sales app to allow this?</strong><br><br>A) Discounts, since the free sandwich is technically a normal sandwich sold at a 100% discount<br>B) Pricelists, since you need to create a custom Pricelist with the ""BOGO"" setting activated<br>C) Promotions, Loyalty & Gift Card, since you're creating a loyalty program";"✅ <strong>Jawaban: A) Discounts, since the free sandwich is technically a normal sandwich sold at a 100% discount</strong>";"odoo19::sales"
"<strong>When generating Gift Cards, they can be generated for...</strong><br><br>A) Anonymous Customer<br>B) Selected Customers<br>C) Both";"✅ <strong>Jawaban: C) Both</strong>";"odoo19::sales"
"<strong>Which of the following is NOT a 'Variant Creation' option while creating product attributes?</strong><br><br>A) Instantly<br>B) Formula-based<br>C) Dynamically";"✅ <strong>Jawaban: B) Formula-based</strong>";"odoo19::sales"
"<strong>How do you configure an upsell product to appear on the bottom of another product page in your eCommerce store?</strong><br><br>A) In the 'Sales' tab of your eCommerce product, enter the upsell product in the 'Alternative Products' field<br>B) In your eCommerce website, drag and drop the product from the Odoo product page (open on a separate tab)<br>C) There is no way to add an upsell product to the bottom a product page in the eCommerce store.";"✅ <strong>Jawaban: A) In the 'Sales' tab of your eCommerce product, enter the upsell product in the 'Alternative Products' field</strong>";"odoo19::sales"
"<strong>When a new survey is being created, which of the following is NOT an available survey type option?</strong><br><br>A) Recruitment<br>B) Questionnaire<br>C) Assesment";"✅ <strong>Jawaban: A) Recruitment</strong>";"odoo19::survey"
"<strong>In the 'Options' tab of a survey form, what are the 'Display Progress as' options?</strong><br><br>A) 'Percentage left' and 'Progress bar'.<br>B) 'Percentage left' and 'Number'.<br>C) 'Progress bar' and 'Number'.";"✅ <strong>Jawaban: C) 'Progress bar' and 'Number'.</strong>";"odoo19::survey"
"<strong>Which of the following options is not available in a Live Session?</strong><br><br>A) Survey time limit.<br>B) Scoring without Answers.<br>C) Matrix Questions.";"✅ <strong>Jawaban: A) Survey time limit.</strong>";"odoo19::survey"
"<strong>How can Odoo detect that 2 leads are duplicates and can be merged (not similar leads)?</strong><br><br>A) They share the same email address<br>B) They share the same opportunity name<br>C) They have the exact same tags";"✅ <strong>Jawaban: A) They share the same email address</strong>";"odoo19::crm"
"<strong>What does converting a lead mean?</strong><br><br>A) Creating a lead from a contact card.<br>B) Closing a deal.<br>C) Transforming a lead into an opportunity.";"✅ <strong>Jawaban: C) Transforming a lead into an opportunity.</strong>";"odoo19::crm"
"<strong>What does the Opportunities smart button display on a company's contact record in Odoo?</strong><br><br>A) All opportunities related to the company and its contacts.<br>B) Only opportunities that have been won.<br>C) Only opportunities that have scheduled activities.";"✅ <strong>Jawaban: A) All opportunities related to the company and its contacts.</strong>";"odoo19::crm"
"<strong>Who can access Reporting in the CRM app?</strong><br><br>A) Only database administrators.<br>B) Only managers.<br>C) All CRM users.";"✅ <strong>Jawaban: C) All CRM users.</strong>";"odoo19::crm"
"<strong>When is it useful to create a new property field on an opportunity?</strong><br><br>A) When your sales team needs to track a specific piece of information.<br>B) When a sales manager notices an opportunity has an overdue activity.<br>C) When a salesperson wants to impress a client.";"✅ <strong>Jawaban: A) When your sales team needs to track a specific piece of information.</strong>";"odoo19::crm"
"<strong>What does an orange activity icon on an opportunity card in Kanban view indicate?</strong><br><br>A) The activity is due soon.<br>B) The activity is overdue.<br>C) The activity is due today.";"✅ <strong>Jawaban: C) The activity is due today.</strong>";"odoo19::crm"
"<strong>Which of the following can be used as Sources for an AI Agent?</strong><br><br>A) Only text fields and record notes.<br>B) Uploaded files, Knowledge articles, docs from the Documents app, and website links.<br>C) Knowledge articles and docs from the Documents app only.";"✅ <strong>Jawaban: B) Uploaded files, Knowledge articles, docs from the Documents app, and website links.</strong>";"odoo19::ai"
"<strong>What is the purpose of AI Tools in Odoo's AI framework?</strong><br><br>A) To provide extra data sources for the agent to read from.<br>B) To limit the agent's output to predefined templates.<br>C) To extend the AI Agent's capabilities beyond text generation, allowing it to perform defined actions or functions.";"✅ <strong>Jawaban: C) To extend the AI Agent's capabilities beyond text generation, allowing it to perform defined actions or functions.</strong>";"odoo19::ai"
"<strong>You want to ask an AI Agent how many leads are currently assigned to a specific salesperson. Which Topic must be assigned to the agent for it to answer that question?</strong><br><br>A) Information Reporting.<br>B) Information Retrieval.<br>C) Lead Assessment.";"✅ <strong>Jawaban: A) Information Reporting.</strong>";"odoo19::ai"
"<strong>On a mailing form, what's the purpose of this button next to the 'Subject' line?</strong><br><br>A) To include a link to a satisfaction survey at the bottom of the communication.<br>B) To add the company's logo to the top of the communication.<br>C) To insert dynamic values in the subject line.";"✅ <strong>Jawaban: C) To insert dynamic values in the subject line.</strong>";"odoo19::marketing"
"<strong>What is an A/B test?</strong><br><br>A) Sending different versions of a marketing email to a small group of recipients in a mailing list. The version that performs the best is then sent to the remaining contacts in the mailing list.<br>B) Sending a selection of emails to a random portion of contacts in the database, at regular intervals, with no end date.<br>C) Sending the same email to two different mailing lists, so the mailing list with the fewest open rates is archived.";"✅ <strong>Jawaban: A) Sending different versions of a marketing email to a small group of recipients in a mailing list. The version that performs the best is then sent to the remaining contacts in the mailing list.</strong>";"odoo19::marketing"
"<strong>In SMS Marketing, under the 'A/B Tests' tab on a message form, which metric is available for selecting the winning email?</strong><br><br>A) Highest Click Rate<br>B) Forwards<br>C) Bounces";"✅ <strong>Jawaban: A) Highest Click Rate</strong>";"odoo19::marketing"
"<strong>How can you add the 'customizable cookie bar' for your website visitors?</strong><br><br>A) Going to the 'Style' tab in the website editor and enable it.<br>B) By enabling the feature in the website settings.<br>C) By activating developer mode and enabling it in the website properties.";"✅ <strong>Jawaban: B) By enabling the feature in the website settings.</strong>";"odoo19::website"
"<strong>You added the 'Newsletter popup' on your website, and you want to edit it. How can you find it?</strong><br><br>A) By going into 'Edit' mode on your website and waiting a few seconds for the pop-up to appear.<br>B) By clicking on 'Newsletter Popup' in the 'Invisible Elements' section at the bottom of the website editor.<br>C) By clicking Website > Site > Properties.";"✅ <strong>Jawaban: B) By clicking on 'Newsletter Popup' in the 'Invisible Elements' section at the bottom of the website editor.</strong>";"odoo19::website"
"<strong>On which device can you decide to hide certain content blocks when editing your website?</strong><br><br>A) Desktop<br>B) Desktop and mobile<br>C) Desktop, mobile, and tablet";"✅ <strong>Jawaban: B) Desktop and mobile</strong>";"odoo19::website"
"<strong>Is it possible to add a hyperlink to an image on your website?</strong><br><br>A) Yes, by adding a URL to the media in the website editor.<br>B) Yes, by activating the developer mode and going to Settings > Technical > Database Structure > Hyperlinks.<br>C) You cannot link an image to a URL on your website.";"✅ <strong>Jawaban: A) Yes, by adding a URL to the media in the website editor.</strong>";"odoo19::website"
"<strong>Which Odoo feature lets you show a similar product to a customer browsing a product page?</strong><br><br>A) Alternative products<br>B) Accessory products<br>C) Optional products";"✅ <strong>Jawaban: A) Alternative products</strong>";"odoo19::ecommerce"
"<strong>You want to show your customers additional products they may be interested in upon checkout, which feature can you use?</strong><br><br>A) Alternative products.<br>B) Optional products.<br>C) Accessory products.";"✅ <strong>Jawaban: B) Optional products.</strong>";"odoo19::ecommerce"
"<strong>On the frontend, where can you display a 'Sale' Badge or Ribbon on a product?</strong><br><br>A) On the /shop/[productName-id] page, in the Style tab only.<br>B) On the /shop page, in the Style tab only.<br>C) Both options are valid.";"✅ <strong>Jawaban: C) Both options are valid.</strong>";"odoo19::ecommerce"
"<strong>What can you add to a product to highlight it in your catalog and/or on the product page?</strong><br><br>A) A ribbon.<br>B) A badge.<br>C) A ribbon or a badge.";"✅ <strong>Jawaban: A) A ribbon.</strong>";"odoo19::ecommerce"
"<strong>Who can edit an article in the Workspace?</strong><br><br>A) Any contributor with 'Can read' access.<br>B) The author only.<br>C) Everyone, as long as it's in the default company access.";"✅ <strong>Jawaban: B) The author only.</strong>";"odoo19::knowledge"
"<strong>What happens if you lock an article in the Workspace?</strong><br><br>A) You cannot access the article.<br>B) You can only read the article.<br>C) You can still edit it, even if you're not the author.";"✅ <strong>Jawaban: B) You can only read the article.</strong>";"odoo19::knowledge"
"<strong>Can you copy the link of one specific header?</strong><br><br>A) Yes, any header can be copied.<br>B) No, you can only copy the article's link.<br>C) Yes, but you can only copy the title.";"✅ <strong>Jawaban: A) Yes, any header can be copied.</strong>";"odoo19::knowledge"
"<strong>When can Odoo send an automatic task rating request to a customer?</strong><br><br>A) Only when a task reaches a specific stage<br>B) Only on a periodic basis (e.g., every month)<br>C) Both when a task reaches a specific stage or on a periodic basis";"✅ <strong>Jawaban: C) Both when a task reaches a specific stage or on a periodic basis</strong>";"odoo19::project"
"<strong>Which of the following project visibility options does not exist?</strong><br><br>A) Invited internal users<br>B) All internal users<br>C) Public";"✅ <strong>Jawaban: B) All internal users</strong>";"odoo19::project"
"<strong>Who can potentially view a private project?</strong><br><br>A) Only invited internal users<br>B) Only invited internal users, invited portal users and users with the access right ""Project Administrator""<br>C) Only invited internal users and users with the access right ""Project Administrator""";"✅ <strong>Jawaban: C) Only invited internal users and users with the access right ""Project Administrator""</strong>";"odoo19::project"
"<strong>The burndown chart represent, at a specific point in time:</strong><br><br>A) The number of tasks in each stage<br>B) The number of negative customer ratings<br>C) The number of canceled tasks";"✅ <strong>Jawaban: A) The number of tasks in each stage</strong>";"odoo19::project"
"<strong>What element cannot be added to the top bar?</strong><br><br>A) Products<br>B) Sales orders<br>C) Analytic items";"✅ <strong>Jawaban: C) Analytic items</strong>";"odoo19::project"
"<strong>When using Timesheets' default settings, what will be the duration of the timesheet entry if you stop the timer after 4 minutes and 30 seconds?</strong><br><br>A) 4 minutes<br>B) 5 minutes<br>C) 15 minutes";"✅ <strong>Jawaban: C) 15 minutes</strong>";"odoo19::timesheets"
"<strong>How can you configure fiscal positions to apply automatically to contacts based on their country?</strong><br><br>A) Select the country and enable the 'Detect Automatically' option on the fiscal position.<br>B) Set the customer's fiscal position to 'Detect Automatically'.<br>C) Set the invoice's fiscal position to 'Detect Automatically'.";"✅ <strong>Jawaban: A) Select the country and enable the 'Detect Automatically' option on the fiscal position.</strong>";"odoo19::accounting"
"<strong>How can you set up follow-up actions for payments due from a customer?</strong><br><br>A) Set follow-up actions using the Due smartbutton in the customer record.<br>B) Create follow-up levels then set reminders in the customer's contact record.<br>C) Create follow-up levels then set reminders in Accounting > Customers > Follow-up Reports.";"✅ <strong>Jawaban: C) Create follow-up levels then set reminders in Accounting > Customers > Follow-up Reports.</strong>";"odoo19::accounting"
"<strong>How can you automatically cancel all journal entries from before a specific date?</strong><br><br>A) Set the specific date in the Invoicing Switch Threshold field in the Accounting settings.<br>B) Select all the journal entries from before the specific date in the list view and click Action > Cancel.<br>C) In developer mode, go to the Advanced Settings tab of each journal that you want to cancel journal entries in, enable the Cancel Posted Entries With Hash field, and set the specific date.";"✅ <strong>Jawaban: A) Set the specific date in the Invoicing Switch Threshold field in the Accounting settings.</strong>";"odoo19::accounting"
"<strong>How can you include a spelled out invoice total on an invoice report?</strong><br><br>A) In the Accounting settings, enable the ""Total amount of invoice in letters"" feature.<br>B) On the invoice form view in Studio, select the Total field and change the widget to ""Amount in letters"".<br>C) On the invoice report in Studio, select the Total field and change the widget to ""Amount in letters"".";"✅ <strong>Jawaban: C) On the invoice report in Studio, select the Total field and change the widget to ""Amount in letters"".</strong>";"odoo19::accounting"
"<strong>How can you automatically generate bills in Company A from invoices in Company B?</strong><br><br>A) Enable inter-company transactions in the general settings, then select the ""Synchronize invoices/bills"" option in Company A.<br>B) Enable inter-company transactions in the general settings, then select the ""Create Vendor Bills"" option in Company A.<br>C) Enable inter-company transactions in the general settings, then select the ""Create Vendor Bills"" option in Company B.";"✅ <strong>Jawaban: C) Enable inter-company transactions in the general settings, then select the ""Create Vendor Bills"" option in Company B.</strong>";"odoo19::accounting"
"<strong>How can you set a lock date for only vendor bills?</strong><br><br>A) Set the Journal Entries Lock Date.<br>B) Set the Lock Bills date.<br>C) Set the Lock Purchases date.";"✅ <strong>Jawaban: C) Set the Lock Purchases date.</strong>";"odoo19::accounting"
